_SAPPCTXT_HEADER_               002 8000 CHART RO 1404 OK 
26217                           022 "Background:"
26219                           016 "Mãrime:"
26222                           016 "Model"
26223                           016 "Antet:"
26226                           016 "Mãrime:"
26227                           017 "Greutate:"
26300                           016 "Numãr"
26301                           020 "Categorie:"
26303                           026 "Numãr formate:"
26305                           016 "Model"
26306                           016 "Static"
26307                           025 "Numãr format:"
26400                           015 "Formã"
26401                           017 "Forme:"
26500                           017 "Model"
26501                           014 "Completare"
26502                           020 "Automat"
26503                           016 "Culoare"
26504                           018 "Model"
26505                           019 "Gradient"
26506                           018 "Texturã"
26507                           016 "Static"
26509                           016 "Static"
26511                           016 "Static"
26513                           022 "Efecte 3D"
26514                           016 "Chenar"
26515                           020 "Automat"
26516                           017 "Personalizare"
26517                           017 "Stil:"
26519                           017 "Culoare:"
26521                           017 "Umbrã"
26522                           016 "Model"
26523                           022 "Transparent"
26525                           018 "Model:"
26526                           015 "Imagine"
26527                           025 "Browse imagine..."
26600                           019 "Linie de tendinþã"
26601                           031 "Tendinþã/Tip regresie"
26603                           026 "Nume linie tendinþã:"
26605                           020 "Automat"
26606                           018 "Prognozã"
26607                           019 "În aval:"
26610                           020 "În amonte:"
26613                           019 "Perioade:"
26616                           036 "Afiºare ecuaþie pe diagramã"
26700                           015 "Scalã"
26701                           015 "Scalã"
26702                           029 "Scalã axã de categorie"
26703                           033 "Axa de val.se intersect.la:"
26705                           057 "Numãr de categorii între etichete marcatori de reper:"
26707                           051 "Numãr de categorii între etichete marcatori reper"
26709                           048 "Axã de valori se intersect.între categorii"
26710                           038 "Categorii în ordine inversã"
26712                           020 "Automat"
26713                           040 "Numãr de categorii vizibile:"
26715                           036 "Început la nr.categorie:"
26800                           015 "Scalã"
26801                           027 "Scalã axã de serii"
26802                           053 "Numãr serii între etichete marcator de reper:"
26804                           047 "Numãr de serii între marcatori de reper:"
26806                           034 "Serii în ordine inversã"
26900                           015 "Scalã"
26901                           026 "Scalã axã de valori"
26902                           016 "Tip:"
26904                           021 "Lãþime interval:"
26907                           014 "Auto"
26908                           019 "Minim:"
26911                           019 "Maxim:"
26914                           022 "Unitate Majorã:"
26919                           018 "Format:"
26921                           022 "Unitate minorã:"
26926                           018 "Format:"
26928                           036 "Axã categ.se intersect.la:"
26931                           034 "Valori în ordine inversã"
26933                           025 "Lãþime a unei zile:"
26936                           027 "Imagine începe la:"
26938                           030 "Linie la timp efectiv"
26939                           035 "Prezentare completã unit.de timp"
26940                           027 "Sãrbãtori colorate"
26942                           015 "Data:"
27000                           017 "Opþiuni"
27001                           016 "Static"
27005                           038 "Mãrime pt. a doua zonã de trasare"
27008                           016 "Grad"
27009                           023 "Adâncime grafic:"
27013                           039 "Al doilea element de plotare conþine:"
27016                           016 "Valori"
27018                           031 "Culori diferite dupã punct"
27019                           025 "Linii maxim-minim"
27020                           023 "Bare sup.inf."
27021                           026 "Mãrime reprezentatã"
27022                           030 "Suprafaþã de bubbles"
27023                           034 "Diametru bubble"
27024                           024 "Sortare serii dupã:"
27026                           036 "Domenii abatere poz./neg."
27027                           022 "Intervale de valori"
27029                           017 "Adãugare"
27030                           018 "Editare..."
27031                           017 "&ªtergere"
27033                           024 "Prima linie de sus"
27034                           020 "Automat"
27100                           020 "Tip diagr."
27101                           022 "Tip diagramã:"
27103                           025 "Subtip diagramã:"
27105                           033 "Alocare la toate liniile de date"
27200                           015 "Valoare"
27201                           018 "Axa X:"
27204                           018 "Axa Y:"
27207                           020 "Diametru:"
27300                           021 "Interval de valori"
27301                           017 "Minim"
27302                           017 "Titlu:"
27304                           020 "Automat"
27305                           019 "Invizibil"
27306                           016 "Valoare:"
27309                           017 "Maxim"
27310                           017 "Titlu:"
27312                           020 "Automat"
27313                           019 "Invizibil"
27314                           016 "Valoare:"
27317                           017 "Optim"
27318                           017 "Titlu:"
27320                           019 "Automat"
27321                           019 "Invizibil"
27322                           016 "Valoare:"
27325                           020 "Poziþie:"
27326                           020 "Poziþie:"
27327                           020 "Poziþie:"
27400                           015 "Titlu"
27401                           015 "Diagramã"
27403                           028 "Categorie axã (X):"
27405                           025 "Valoare axã (Y):"
27407                           038 "Categorie secundarã axã (X):"
27409                           035 "Categorie secundarã axã (Y):"
27411                           019 "Deplasabil"
27412                           019 "Editabil"
27413                           017 "Titlu:"
27414                           017 "Titlu:"
27415                           017 "Titlu:"
27416                           016 "Titlu:"
27417                           016 "Titlu:"
27418                           016 "Unitate:"
27419                           016 "Unitate:"
27420                           015 "Unitate"
27421                           015 "Unitate"
27500                           020 "Tabel date"
27501                           026 "Afiºare tabel date"
27502                           027 "Afiºare chei legendã"
27600                           029 "Distribuþie normalã"
27601                           029 "Nume distribuþie:"
27603                           020 "Automat"
27604                           016 "Sens:"
27606                           030 "Abatere standard:"
27608                           032 "Afiºare nume pe diagramã"
27700                           019 "Cuadranþi"
27701                           016 "Centrare"
27702                           018 "Axa X:"
27705                           018 "Axa Y:"
27708                           016 "Culori"
27709                           019 "Sus-stânga:"
27711                           020 "Sus-Dreapta:"
27713                           023 "Jos-Stânga :"
27715                           023 "Jos-dreapta:"
27719                           018 "Vizibil"
27800                           028 "Serii intervale valori"
27801                           016 "De la:"
27804                           014 "La:"
27807                           017 "Culoare:"
27900                           017 "Opþiuni"
27901                           019 "Coloane:"
27903                           015 "Linii"
27906                           017 "Titlu:"
27908                           018 "Vizibil"
27910                           018 "Poziþie"
27911                           017 "Personalizare"
27912                           020 "Automat"
27913                           019 "Deplasabil"
28000                           017 "Opþiuni"
28001                           017 "Titlu:"
28003                           018 "Vizibil"
28004                           017 "Lãþime:"
28007                           020 "Automat"
28008                           021 "Aliniere:"
28010                           016 "Tip:"
28012                           029 "Permitere editare date"
28100                           017 "Opþiuni"
28101                           028 "Obiecte autoscalã"
28103                           024 "Rânduri vizibile:"
28106                           030 "Afiºare valori vide"
28107                           021 "Netrasat"
28108                           022 "Interpolat"
28109                           014 "Zero"
28200                           016 "Buton"
28201                           016 "Titlu:"
28203                           017 "Lãþime:"
28206                           018 "Înãlþime:"
28209                           025 "Spaþiu vertical:"
28212                           028 "Spaþiu orizontal:"
28216                           020 "Poziþie:"
28300                           014 "Celulã"
28301                           020 "Cheie legendã"
28302                           018 "Serii:"
28305                           017 "Punct:"
28308                           021 "Tabele utilizator"
28400                           017 "Indicator"
28401                           023 "Etichetã indicator"
28402                           017 "Etichetã:"
28500                           017 "Opþiuni"
28501                           018 "Poziþie"
28502                           019 "Stânga sus"
28503                           020 "Dreapta sus"
28600                           017 "Opþiuni"
28601                           018 "Poziþie"
