_SAPPCTXT_HEADER_               002 8000 CHART DE 1100 OK 
26001                           021 "Datenbeschriftungen"
26002                           015 "&Keine"
26003                           020 "Wert anzeigen"
26004                           022 "Prozent anzeigen"
26005                           020 "Beschrift. anzeigen"
26006                           032 "Beschriftung u. Prozent anzeigen"
26007                           026 "Blasengröße anzeigen"
26009                           030 "Beschriftung und Wert anzeigen"
26010                           029 "X- und Y-Wert &anzeigen"
26011                           036 "Beschriftung u. Blasengröße anzeigen"
26100                           016 "Legende"
26101                           014 "Typ"
26103                           027 "Referenzblasen"
26104                           018 "&Anzeigen"
26105                           024 "Maximale &Größe:"
26108                           019 "&Pos./Größe änderb."
26109                           025 "&Ausgeblendet"
26200                           014 "Linie"
26201                           014 "Linie"
26202                           020 "&Automatisch"
26203                           017 "&Benutzerdefin."
26204                           017 "A&rt:"
26206                           017 "Far&be:"
26208                           017 "G&lätten"
26209                           016 "Markierung"
26210                           020 "A&utomatisch"
26211                           015 "&Keine"
26212                           017 "Be&nutzerdefin."
26213                           017 "Ar&t:"
26215                           022 "&Vordergrund:"
26217                           022 "&Hintergrund:"
26219                           016 "&Größe"
26222                           016 "Vorschau"
26223                           016 "S&pitze:"
26226                           016 "Größ&e:"
26227                           017 "Dicke:"
26300                           016 "Zahlen"
26301                           020 "&Kategorie:"
26303                           026 "&Zahlenformate:"
26305                           016 "Vorschau"
26306                           016 "Statisch"
26307                           025 "&Zahlenformat:"
26400                           015 "Form"
26401                           017 "Formen:"
26500                           017 "Muster"
26501                           014 "Ausfüllen"
26502                           020 "&Automatisch"
26503                           016 "&Farbe"
26504                           018 "&Muster"
26505                           019 "&Verlauf"
26506                           018 "&Struktur"
26507                           016 "Statisch"
26509                           016 "Statisch"
26511                           016 "Statisch"
26513                           022 "3D-&Effekte"
26514                           016 "Rahmen"
26515                           020 "A&utomatisch"
26516                           017 "&Benutzerdefin."
26517                           017 "A&rt:"
26519                           017 "Far&be:"
26521                           017 "&Schatten"
26522                           016 "Vorschau"
26523                           022 "&Durchsichtig"
26525                           018 "Muster:"
26526                           015 "Bild"
26527                           025 "Bild öffnen..."
26600                           019 "Trendlinie"
26601                           031 "Trend-/Regressionstyp"
26603                           026 "&Trendlinienname:"
26605                           020 "&Automatisch"
26606                           018 "Trend"
26607                           019 "&Vorwärts:"
26610                           020 "&Rückwärts:"
26613                           019 "&Perioden:"
26616                           036 "&Formel in Diagramm darstellen"
26700                           015 "Skalierung"
26701                           015 "Skalierung"
26702                           029 "Skalierung Rubrikenachse"
26703                           033 "G&rößenachse schneidet bei:"
26705                           057 "Anzahl der Rubriken zw. den &Teilstrichbeschriftungen:"
26707                           051 "Anzahl der Rubriken zw. den Teil&strichen:"
26709                           048 "Größenachse schneidet &zwischen Rubriken"
26710                           038 "Kategorien in &umgekehrter Reihenfolge"
26712                           020 "Aut&omatisch"
26713                           040 "&Anzahl der sichtbaren Rubriken:"
26715                           036 "&Start bei Ru&brik Nr.:"
26800                           015 "Skalierung"
26801                           027 "Skalierung Reihenachse"
26802                           053 "Anzahl Reihen zwischen den &Teilstrichbeschriftungen:"
26804                           047 "Anzahl Reihen zwischen den Teil&strichen:"
26806                           034 "Reihen in &umgekehrter Reihenfolge"
26900                           015 "Skalierung"
26901                           026 "Skalierung Größenachse"
26902                           016 "Ty&p:"
26904                           021 "&Abstand z. Diagramm:"
26907                           014 "Auto"
26908                           019 "&Kleinstwert:"
26911                           019 "&Höchstwert:"
26914                           022 "H&auptintervall:"
26919                           018 "&Format:"
26921                           022 "H&ilfsintervall:"
26926                           018 "Fo&rmat:"
26928                           036 "Rubrikenach&se schneidet bei:"
26931                           034 "&Größen in umgekehrter Reihenfolge"
26933                           025 "Breite eines Tages:"
26936                           027 "A&nsicht beginnt bei:"
26938                           030 "&Linie bei aktueller Zeit"
26939                           035 "&Zeiteinheiten ganz anzeigen"
26940                           027 "&Feiertage einfärben"
26942                           015 "Datum:"
27000                           017 "Optionen"
27001                           016 "Statisch"
27005                           038 "Größe der zweiten Zeichnungsfläche"
27008                           016 "Grad"
27009                           023 "Diag&rammtiefe:"
27013                           039 "Zweite Zeichnungsfläche enthält:"
27016                           016 "Werte"
27018                           031 "&Farbunterscheid. Datenpunkte"
27019                           025 "&Spannweitenlinien"
27020                           023 "&Pos./Neg. Abweichung"
27021                           026 "Größe repräsentiert"
27022                           030 "&Fläche der Blasen"
27023                           034 "&Durchmesser der Blasen"
27024                           024 "Reihe aufteilen mit:"
27026                           036 "P&os./Neg. Abweichungsflächen"
27027                           022 "Wertebereiche"
27029                           017 "&Hinzufügen..."
27030                           018 "&Bearbeiten..."
27031                           017 "&Löschen"
27033                           024 "&Linie zuerst nach oben"
27034                           020 "&Automatisch"
27100                           020 "Chart-Typ"
27101                           022 "&Diagrammtyp:"
27103                           025 "&Untertyp:"
27105                           033 "&Allen Datenreihen zuweisen"
27200                           015 "Wert"
27201                           018 "&X-Achse:"
27204                           018 "&Y-Achse:"
27207                           020 "&Durchmesser:"
27300                           021 "Wertebereich"
27301                           017 "Minimum"
27302                           017 "&Titel:"
27304                           020 "&Automatisch"
27305                           019 "Unsichtbar"
27306                           016 "Wert:"
27309                           017 "Maximum"
27310                           017 "T&itel:"
27312                           020 "A&utomatisch"
27313                           019 "Unsichtbar"
27314                           016 "Wert:"
27317                           017 "Optimum"
27318                           017 "Tit&el:"
27320                           019 "Automatisch"
27321                           019 "Unsichtbar"
27322                           016 "Wert:"
27325                           020 "&Position:"
27326                           020 "P&osition:"
27327                           020 "P&osition:"
27400                           015 "Titel"
27401                           015 "Chart"
27403                           028 "Rubrikenachse (X):"
27405                           025 "Größenachse (Y):"
27407                           038 "Sekundäre Rubrikenachse (X):"
27409                           035 "Sekundäre Größenachse (Y):"
27411                           019 "&Verschiebbar"
27412                           019 "&Änderbar"
27413                           017 "&Titel:"
27414                           017 "T&itel:"
27415                           017 "Tit&el:"
27416                           016 "Titel:"
27417                           016 "Titel:"
27418                           016 "&Einheit:"
27419                           016 "E&inheit:"
27420                           015 "Einheit:"
27421                           015 "Einheit:"
27500                           020 "Datentabelle"
27501                           026 "&Datentabelle &anzeigen"
27502                           027 "&Legendensymbol anzeigen"
27600                           029 "Normalverteilung"
27601                           029 "&Bezeichnung:"
27603                           020 "&Automatisch"
27604                           016 "&Mittelwert:"
27606                           030 "&Standardabweichung:"
27608                           032 "&Name im Diagramm darstellen"
27700                           019 "Quadranten"
27701                           016 "Mittelpunkt"
27702                           018 "&X-Achse:"
27705                           018 "&Y-Achse:"
27708                           016 "Farben"
27709                           019 "Oben links:"
27711                           020 "Oben rechts:"
27713                           023 "Unten links:"
27715                           023 "Unten rechts:"
27719                           018 "&Sichtbar"
27800                           028 "Wertebereich Datenreihe"
27801                           016 "&Von:"
27804                           014 "&Bis:"
27807                           017 "&Farbe:"
27900                           017 "Optionen"
27901                           019 "S&palten:"
27903                           015 "&Zeilen"
27906                           017 "&Titel:"
27908                           018 "&Sichtbar"
27910                           018 "Position"
27911                           017 "&Benutzerdefin."
27912                           020 "&Automatisch"
27913                           019 "&Verschiebbar"
28000                           017 "Optionen"
28001                           017 "&Titel:"
28003                           018 "&Sichtbar"
28004                           017 "&Breite:"
28007                           020 "&Automatisch"
28008                           021 "Aus&richtung:"
28010                           016 "T&yp:"
28012                           029 "&Bearbeitung zulassen"
28100                           017 "Optionen"
28101                           028 "&Objektgrößen anpassen"
28103                           024 "&Sichtbare Zeilen:"
28106                           030 "Leere Werte darstellen"
28107                           021 "Nicht"
28108                           022 "Interpoliert"
28109                           014 "Null"
28200                           016 "Drucktaste"
28201                           016 "Titel:"
28203                           017 "&Breite:"
28206                           018 "&Höhe:"
28209                           025 "Vertikaler Abstand:"
28212                           028 "H&orizontaler Abstand:"
28216                           020 "&Position:"
28300                           014 "Zelle"
28301                           020 "Legendensymbol"
28302                           018 "&Reihe:"
28305                           017 "&Punkt:"
28308                           021 "Benutzertabellen"
28400                           017 "Zeiger"
28401                           023 "Zeigerbeschriftung"
28402                           017 "&Beschriftung:"
28500                           017 "Optionen"
28501                           018 "Position"
28502                           019 "&Oben links"
28503                           020 "&Oben rechts"
28600                           017 "Optionen"
28601                           018 "Position"
