_SAPPCTXT_HEADER_               002 8000 CHART FI 1100 OK 
25514                           015 "Ilman"
25515                           016 "Sis."
25516                           017 "Ulk."
25517                           015 "Vino"
25518                           026 "Apujakoviivojen selitteet"
25519                           015 "Ilman"
25520                           013 "Syv‰"
25521                           014 "Korkea"
25522                           022 "Akselin vieress‰"
25523                           016 "Esikatselu"
25600                           014 "Akselit"
25601                           024 "Arvosarja viittaa"
25602                           023 "Ensimm‰inen akseli"
25603                           025 "Toinen akseli"
25700                           019 "Virhetunniste"
25701                           017 "N‰yt‰"
25703                           022 "Virhesumma"
25704                           023 "Vakioarvo:"
25705                           021 "Prosenttiarvo:"
25706                           029 "Vakiopoikkeama:"
25707                           024 "Vakiovirhe:"
25708                           017 "Mukauta:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Ruudukkoviivat"
25801                           028 "Luokka-akseli (X)"
25802                           026 "P‰‰ruudukko"
25803                           026 "Apuruudukko"
25804                           025 "Arvoakseli (Y)"
25805                           026 "P‰‰ruudukko"
25806                           026 "Apuruudukko"
25807                           026 "Sarja-akseli (Z)"
25808                           026 "P‰‰ruudukko"
25809                           026 "Apuruudukko"
25810                           028 "Luokka-akseli (X)"
25811                           026 "P‰‰ruudukko"
25812                           026 "Apuruudukko"
25813                           025 "Arvoakseli (Y)"
25814                           026 "P‰‰ruudukko"
25815                           026 "Apuruudukko"
25816                           022 "Ensimm‰inen akseli"
25817                           024 "Toinen akseli"
25900                           014 "Viiva"
25901                           020 "Automaattinen"
25902                           017 "K‰ytt‰j‰n m‰‰r."
25903                           014 "Viiva"
25904                           017 "Laji:"
25906                           017 "V‰ri:"
25908                           016 "Esikatselu"
25909                           016 "Piste"
26000                           021 "Arvopisteen selitteet"
26001                           021 "Arvopisteen selitteet"
26002                           015 "Ei"
26003                           020 "N‰yt‰ arvo"
26004                           022 "N‰yt‰ prosentti"
26005                           020 "N‰yt‰ selite"
26006                           032 "N‰yt‰ selite ja prosentti"
26007                           026 "N‰yt‰ kuplan koko"
26009                           030 "N‰yt‰ selite ja arvo"
26010                           029 "N‰yt‰ X- ja Y-arvo"
26011                           036 "N‰yt‰ selite ja kuplan koko"
26100                           016 "Selitys"
26101                           014 "Tpi"
26103                           027 "Viitekuplat"
26104                           018 "N‰yt‰"
26105                           024 "Maksimikoko:"
26108                           019 "Sij./koko muutett."
26109                           025 "Piilotettu"
26200                           014 "Viiva"
26201                           014 "Viiva"
26202                           020 "Automaattinen"
26203                           017 "K‰ytt‰j‰n m‰‰r."
26204                           017 "Laji:"
26206                           017 "V‰ri:"
26208                           017 "Tasoita"
26209                           016 "Valinta"
26210                           020 "Automaattinen"
26211                           015 "Ei"
26212                           017 "K‰ytt‰j‰n m‰‰r."
26213                           017 "Laji:"
26215                           022 "Edusta:"
26217                           022 "Tausta:"
26219                           016 "Koko"
26222                           016 "Esikatselu"
26223                           016 "Yl‰osa:"
26226                           016 "Koko:"
26227                           017 "Paksuus:"
26300                           016 "Luvut"
26301                           020 "Luokka:"
26303                           026 "Numeromuodot:"
26305                           016 "Esikatselu"
26306                           016 "Kiinte‰"
26307                           025 "Numeromuoto:"
26400                           015 "Muoto"
26401                           017 "Muodot:"
26500                           017 "Malli"
26501                           014 "T‰yt‰"
26502                           020 "Automaattinen"
26503                           016 "V‰ri"
26504                           018 "Malli"
26505                           019 "V‰riaste"
26506                           018 "Rakenne"
26507                           016 "Kiinte‰"
26509                           016 "Kiinte‰"
26511                           016 "Kiinte‰"
26513                           022 "3-ulotteinen"
26514                           016 "Kehys"
26515                           020 "Automaattinen"
26516                           017 "K‰ytt‰j‰n m‰‰r."
26517                           017 "Laji:"
26519                           017 "V‰ri:"
26521                           017 "Varjosta"
26522                           016 "Esikatselu"
26523                           022 "L‰pin‰kyv‰"
26525                           018 "Malli:"
26526                           015 "Kuva"
26527                           025 "Avaa kuva..."
26600                           019 "Trendiviiva"
26601                           031 "Trendi-/regressiotyyppi"
26603                           026 "Trendiviivan nimi:"
26605                           020 "Automaattinen"
26606                           018 "Trendi"
26607                           019 "Eteenp‰in:"
26610                           020 "Taaksep‰in:"
26613                           019 "Kaudet:"
26616                           036 "N‰yt‰ kaava kaaviossa"
26700                           015 "Skaalaus"
26701                           015 "Skaalaus"
26702                           029 "Skaalaus, luokka-akseli"
26703                           033 "Arvoakselin leikkauspiste:"
26705                           057 "Luokkien lukum‰‰r‰ apujakoviivojen selitteiden v‰liss‰:"
26707                           051 "Luokkien lukum‰‰r‰ apujakoviivojen v‰liss‰:"
26709                           048 "Arvoakselin leikkauspiste luokissa"
26710                           038 "Luokat k‰‰nteisess‰ j‰rjestyksess‰"
26712                           020 "Automaattinen"
26713                           040 "N‰kyvien luokkien lukum‰‰r‰:"
26715                           036 "Alku luokkanumerosta:"
26800                           015 "Skaalaus"
26801                           027 "Skaalaus, sarja-akseli"
26802                           053 "Sarjojen lkm apujakoviivojen selitteiden v‰liss‰:"
26804                           047 "Sarjojen lukum‰‰r‰ apujakoviivojen v‰liss‰:"
26806                           034 "Sarjat k‰‰nteisess‰ j‰rjestyksess‰"
26900                           015 "Skaalaus"
26901                           026 "Arvoakselin skaalaus"
26902                           016 "Tyyppi:"
26904                           021 "V‰li kaavioon:"
26907                           014 "Autom."
26908                           019 "Minimiarvo:"
26911                           019 "Maksimiarvo:"
26914                           022 "P‰‰v‰li:"
26919                           018 "Muoto:"
26921                           022 "Apuv‰li:"
26926                           018 "Muoto:"
26928                           036 "Luokka-akselin leikkauspiste:"
26931                           034 "Arvot k‰‰nteisess‰ j‰rjestyksess‰"
26933                           025 "P‰iv‰n leveys:"
26936                           027 "N‰kym‰n alku:"
26938                           030 "Viiva nykyisess‰ ajassa"
26939                           035 "N‰yt‰ kokon. aikayksikˆt"
26940                           027 "Juhlap‰iv‰t v‰rillisin‰"
26942                           015 "P‰iv‰m‰‰r‰:"
27000                           017 "Vaihtoehdot"
27001                           016 "Kiinte‰"
27005                           038 "Toisen piirtoalueen koko"
27008                           016 "Aste"
27009                           023 "Kaavion syvyys:"
27013                           039 "Toisen piirtoalueen sis‰llys:"
27016                           016 "Arvot"
27018                           031 "Datapisteiden v‰rierot"
27019                           025 "Vaihteluv‰lin viivat"
27020                           023 "Pos./neg. poikkeama"
27021                           026 "Koko esitt‰‰"
27022                           030 "Kuplien pinta-ala"
27023                           034 "Kuplien l‰pimitta"
27024                           024 "Jaa sarja:"
27026                           036 "Pos./neg. poikkeama-alueet"
27027                           022 "Arvoalueet"
27029                           017 "Lis‰‰..."
27030                           018 "K‰sittele..."
27031                           017 "Poista"
27033                           024 "Viiva ensin ylˆs"
27034                           020 "Automaattinen"
27100                           020 "Kaaviotyyppi"
27101                           022 "Kaaviotyyppi:"
27103                           025 "Alatyyppi:"
27105                           033 "Kohdista kaikkiin arvosarjoihin"
27200                           015 "Arvo"
27201                           018 "X-akseli:"
27204                           018 "Y-akseli:"
27207                           020 "L‰pimitta:"
27300                           021 "Arvoalue"
27301                           017 "Minimi"
27302                           017 "Otsikko:"
27304                           020 "Automaattinen"
27305                           019 "N‰kym‰tˆn"
27306                           016 "Arvo:"
27309                           017 "Maksimi"
27310                           017 "Otsikko:"
27312                           020 "Automaattinen"
27313                           019 "N‰kym‰tˆn"
27314                           016 "Arvo:"
27317                           017 "Optimaalinen"
27318                           017 "Otsikko:"
27320                           019 "Automaattinen"
27321                           019 "N‰kym‰tˆn"
27322                           016 "Arvo:"
27325                           020 "Sijainti:"
27326                           020 "Sijainti:"
27327                           020 "Sijainti:"
27400                           015 "Otsikko"
27401                           015 "Kaavio"
27403                           028 "Luokka-akseli (X):"
27405                           025 "Arvoakseli (Y):"
27407                           038 "Toinen luokka-akseli (X):"
27409                           035 "Toinen arvoakseli (Y):"
27411                           019 "Siirrett‰v‰"
27412                           019 "Muutettavissa"
27413                           017 "Otsikko:"
27414                           017 "Otsikko:"
27415                           017 "Otsikko:"
27416                           016 "Otsikko:"
27417                           016 "Otsikko:"
27418                           016 "Yksikkˆ:"
27419                           016 "Yksikkˆ:"
27420                           015 "Yksikkˆ:"
27421                           015 "Yksikkˆ:"
27500                           020 "Datataulu"
27501                           026 "N‰yt‰ datataulu"
27502                           027 "N‰yt‰ selityssymboli"
27600                           029 "Normaalijakauma"
27601                           029 "Nimitys:"
27603                           020 "Automaattinen"
27604                           016 "Keskiarvo:"
27606                           030 "Standardipoikkeama:"
27608                           032 "Esit‰ nimi kaaviossa"
27700                           019 "Nelikent‰t"
27701                           016 "Keskikohta"
27702                           018 "X-akseli:"
27705                           018 "Y-akseli:"
27708                           016 "V‰rit"
27709                           019 "Ylh. vasemm.:"
27711                           020 "Ylh. oik.:"
27713                           023 "Alhaalla vasemmalla:"
27715                           023 "Alhaalla oikealla:"
27719                           018 "N‰kyv‰"
27800                           028 "Arvosarjan arvoalue"
27801                           016 "Alku:"
27804                           014 "Loppu:"
27807                           017 "V‰ri:"
27900                           017 "Vaihtoehdot"
27901                           019 "Sarakkeet:"
27903                           015 "Rivit"
27906                           017 "Otsikko:"
27908                           018 "N‰kyv‰"
27910                           018 "Rivi"
27911                           017 "K‰ytt‰j‰n m‰‰r."
27912                           020 "Automaattinen"
27913                           019 "Siirrett‰v‰"
28000                           017 "Vaihtoehdot"
28001                           017 "Otsikko:"
28003                           018 "N‰kyv‰"
28004                           017 "Leveys:"
28007                           020 "Automaattinen"
28008                           021 "Tasaus:"
28010                           016 "Tyyppi:"
28012                           029 "Salli k‰sittely"
28100                           017 "Vaihtoehdot"
28101                           028 "Mukauta objektien koot"
28103                           024 "N‰kyv‰t rivit:"
28106                           030 "Esit‰ tyhj‰t arvot"
28107                           021 "Ei"
28108                           022 "Interpoloitu"
28109                           014 "Nolla"
28200                           016 "Painike"
28201                           016 "Otsikko:"
28203                           017 "Leveys:"
28206                           018 "Korkeus:"
28209                           025 "V‰li pystysuunnassa:"
28212                           028 "V‰li vaakasuunnassa:"
28216                           020 "Sijainti:"
28300                           014 "Solu"
28301                           020 "Selityssymboli"
28302                           018 "Sarja:"
28305                           017 "Piste:"
28308                           021 "K‰ytt‰j‰taulut"
28400                           017 "Osoitin"
28401                           023 "Osoittimen selite"
28402                           017 "Selite:"
28500                           017 "Vaihtoehdot"
28501                           018 "Rivi"
28502                           019 "Ylh‰‰ll‰ vasemmalla"
28503                           020 "Ylh‰‰ll‰ oikealla"
28600                           017 "Vaihtoehdot"
28601                           018 "Rivi"
