_SAPPCTXT_HEADER_               002 8000 CHART FR 1100 OK 
26707                           051 "Nombre rubriques entre marques graduat. secondaires"
26709                           048 "Intersection axe des valeurs entre rubriques"
26710                           038 "Catégories dans l'ordre inverse&"
26712                           020 "Automatique"
26713                           040 "Nombre de rubriques visibles :"
26715                           036 "Lancement avec catégorie Nº :"
26800                           015 "Chang. échelle"
26801                           027 "Chang. d'échelle axe séries"
26802                           053 "Nombre de séries entre étiquettes de graduation :"
26804                           047 "Nombre séries entre étiquettes de graduation :"
26806                           034 "Séries dans l'ordre inverse"
26900                           015 "Chang. échelle"
26901                           026 "Chg. d'échelle axe valeurs"
26902                           016 "Type :"
26904                           021 "Distance au graph. :"
26907                           014 "Autom."
26908                           019 "Valeur minimum :"
26911                           019 "Valeur maximum :"
26914                           022 "Intervalle princ. :"
26919                           018 "Format :"
26921                           022 "Intervalle auxil. :"
26926                           018 "Format :"
26928                           036 "Intersection axe des rubriques à :"
26931                           034 "Valeurs dans l'ordre inverse"
26933                           025 "Durée d'un jour :"
26936                           027 "La vue commence par :"
26938                           030 "Ligne avec dte/hre actuelle"
26939                           035 "Afficher unités de temps en entier"
26940                           027 "Colorer jours fériés"
26942                           015 "Date :"
27000                           017 "Options"
27001                           016 "Statique"
27005                           038 "Talle de la seconde surface de dessin"
27008                           016 "Degré"
27009                           023 "Profondeur graphique :"
27013                           039 "La 2ème surface de dessin contient :"
27016                           016 "Valeurs"
27018                           031 "Distinct. couleurs pts données"
27019                           025 "Lignes marginales"
27020                           023 "Ecart positif/négatif"
27021                           026 "Taille représentée"
27022                           030 "Surface des bulles"
27023                           034 "Diamètre des bulles"
27024                           024 "Répartir série avec :"
27026                           036 "Surfaces d'écarts positifs/négatifs"
27027                           022 "Séries de valeurs"
27029                           017 "Insérer..."
27030                           018 "&Traiter..."
27031                           017 "&Supprimer"
27033                           024 "Ligne d'abord -> haut"
27034                           020 "Automatique"
27100                           020 "Type de graphique"
27101                           022 "Type graph. :"
27103                           025 "Sous-type :"
27105                           033 "Affecter à ttes séries données"
27200                           015 "Valeur"
27201                           018 "Axe des X :"
27204                           018 "Axe des Y :"
27207                           020 "Diamètre :"
27300                           021 "Série de valeurs"
27301                           017 "Minimum"
27302                           017 "Titre :"
27304                           020 "Automatique"
27305                           019 "Invisible"
27306                           016 "Valeur :"
27309                           017 "Maximum"
27310                           017 "Titre :"
27312                           020 "Automatique"
27313                           019 "Invisible"
27314                           016 "Valeur :"
27317                           017 "Optimum"
27318                           017 "Titre :"
27320                           019 "Automatiquement"
27321                           019 "Invisible"
27322                           016 "Valeur :"
27325                           020 "Position :"
27326                           020 "Position :"
27327                           020 "Position :"
27400                           015 "Titre"
27401                           015 "Graph."
27403                           028 "Axe des rubriques (X) :"
27405                           025 "Axe des valeurs (Y) :"
27407                           038 "Axe des rubriques (X) secondaire :"
27409                           035 "Axe des valeurs (Y) secondaire :"
27411                           019 "Déplaçable"
27412                           019 "Modifiable"
27413                           017 "Titre :"
27414                           017 "Titre :"
27415                           017 "Titre :"
27416                           016 "Titre :"
27417                           016 "Titre :"
27418                           016 "Unité :"
27419                           016 "Unité :"
27420                           015 "Unité :"
27421                           015 "Unité :"
27500                           020 "Table de données"
27501                           026 "Afficher table données"
27502                           027 "Afficher légende"
27600                           029 "Répartition normale"
27601                           029 "Désignation :"
27603                           020 "Automatique"
27604                           016 "Val. moyenne :"
27606                           030 "Ecart standard :"
27608                           032 "Représenter nom dans graphique"
27700                           019 "Quadrants"
27701                           016 "Centre"
27702                           018 "Axe des X :"
27705                           018 "Axe des Y :"
27708                           016 "Couleurs"
27709                           019 "En haut à gauche :"
27711                           020 "En haut à droite :"
27713                           023 "En bas à gauche :"
27715                           023 "En bas à droite :"
27719                           018 "Visible"
27800                           028 "Série valeurs séries données"
27801                           016 "De :"
27804                           014 "A :"
27807                           017 "Couleur :"
27900                           017 "Options"
27901                           019 "Colonnes :"
27903                           015 "Lignes"
27906                           017 "Titre :"
27908                           018 "Visible"
27910                           018 "Position"
27911                           017 "Personnalisé"
27912                           020 "Automatique"
27913                           019 "Déplaçable"
28000                           017 "Options"
28001                           017 "Titre :"
28003                           018 "Visible"
28004                           017 "Largeur :"
28007                           020 "Automatique"
28008                           021 "Alignement :"
28010                           016 "Type :"
28012                           029 "Autoriser traitement"
28100                           017 "Options"
28101                           028 "Adapter tailles d'objet"
28103                           024 "Lignes visibles :"
28106                           030 "Représenter valeurs non rens."
28107                           021 "Non"
28108                           022 "Interpolat."
28109                           014 "Nul"
28200                           016 "Bouton cde"
28201                           016 "Titre :"
28203                           017 "Largeur :"
28206                           018 "Hauteur :"
28209                           025 "Ecart vertical :"
28212                           028 "Ecart horizontal :"
28216                           020 "Position :"
28300                           014 "Cellule"
28301                           020 "Symbole de légende"
28302                           018 "Série :"
28305                           017 "Point :"
28308                           021 "Tables utilisateur"
28400                           017 "Pointeur"
28401                           023 "Légende flèche"
28402                           017 "Légende :"
28500                           017 "Options"
28501                           018 "Position"
28502                           019 "En haut à gauche"
28503                           020 "En haut à droite"
28600                           017 "Options"
28601                           018 "Position"
