_SAPPCTXT_HEADER_               002 8000 CHART ES 1100 OK 
26713                           040 "Cantidad de categorías visibles"
26715                           036 "Inicio en categoría número"
26800                           015 "Graduación"
26801                           027 "Graduación de eje de series"
26802                           053 "Ctd.series entre etiquetas marcas graduación auxiliar"
26804                           047 "Ctd.series entre marcas de graduación auxiliar"
26806                           034 "Series en orden inverso"
26900                           015 "Graduación"
26901                           026 "Graduación eje de valores"
26902                           016 "Tipo"
26904                           021 "Distancia diagrama"
26907                           014 "Auto"
26908                           019 "Valor mínimo"
26911                           019 "Valor máximo"
26914                           022 "Intervalo principal"
26919                           018 "Formato"
26921                           022 "Intervalo secundario"
26926                           018 "Formato"
26928                           036 "Eje de categorías se cruza en"
26931                           034 "Tamaños en orden inverso"
26933                           025 "Ancho de un día"
26936                           027 "Vista comienza en"
26938                           030 "Línea en tiempo actual"
26939                           035 "Visualizar unidades tiempo compl."
26940                           027 "Colorear días festivos"
26942                           015 "Fecha:"
27000                           017 "Opciones"
27001                           016 "Estático"
27005                           038 "Tamaño de la segunda área de trazado"
27008                           016 "Grado"
27009                           023 "Profundidad de diagrama"
27013                           039 "Segunda área de trazado contiene"
27016                           016 "Valores"
27018                           031 "Diferenc.colores puntos datos"
27019                           025 "Líneas máx.-mín."
27020                           023 "Desviación pos./neg."
27021                           026 "Tamaño representado"
27022                           030 "Superficie de burbujas"
27023                           034 "Diámetro de las burbujas"
27024                           024 "Distribuir serie con"
27026                           036 "Áreas de desviación pos./neg."
27027                           022 "Ámbitos de valores"
27029                           017 "Crear..."
27030                           018 "Tratar..."
27031                           017 "Borrar"
27033                           024 "Primero línea arriba"
27034                           020 "Automático"
27100                           020 "Tipo diagrama"
27101                           022 "Tipo diagrama"
27103                           025 "Subtipo"
27105                           033 "Asignar todas series de datos"
27200                           015 "Valor"
27201                           018 "Eje X"
27204                           018 "Eje Y"
27207                           020 "Diámetro"
27300                           021 "Ámbito de valores"
27301                           017 "Mínimo"
27302                           017 "Título"
27304                           020 "Automático"
27305                           019 "Invisible"
27306                           016 "Valor"
27309                           017 "Máximo"
27310                           017 "Título"
27312                           020 "Automático"
27313                           019 "Invisible"
27314                           016 "Valor"
27317                           017 "Óptimo"
27318                           017 "Título"
27320                           019 "Automáticamente"
27321                           019 "Invisible"
27322                           016 "Valor"
27325                           020 "Posición"
27326                           020 "Posición"
27327                           020 "Posición"
27400                           015 "Título"
27401                           015 "Diagrama"
27403                           028 "Eje de categorías (X)"
27405                           025 "Eje de valores (Y)"
27407                           038 "Eje de categorías secundario (X)"
27409                           035 "Eje de valores secundario (Y)"
27411                           019 "Desplazable"
27412                           019 "Editable"
27413                           017 "Título"
27414                           017 "Título"
27415                           017 "Título"
27416                           016 "Título"
27417                           016 "Título"
27418                           016 "Unidad"
27419                           016 "Unidad"
27420                           015 "Unidad:"
27421                           015 "Unidad:"
27500                           020 "Tabla datos"
27501                           026 "Visualizar tabla de datos"
27502                           027 "Visualizar leyenda"
27600                           029 "Distribución normal"
27601                           029 "Denominación"
27603                           020 "Automático"
27604                           016 "Valor medio"
27606                           030 "Desviación estándar"
27608                           032 "Representar nombre en diagrama"
27700                           019 "Cuadrantes"
27701                           016 "Centro"
27702                           018 "Eje X"
27705                           018 "Eje Y"
27708                           016 "Colores"
27709                           019 "Arriba, izquierda"
27711                           020 "Arriba, derecha"
27713                           023 "Abajo, izquierda"
27715                           023 "Abajo, derecha"
27719                           018 "Visible"
27800                           028 "Ámbito valores serie datos"
27801                           016 "De"
27804                           014 "A"
27807                           017 "Color"
27900                           017 "Opciones"
27901                           019 "Columnas"
27903                           015 "Filas"
27906                           017 "Título"
27908                           018 "Visible"
27910                           018 "Posición"
27911                           017 "Personalizado"
27912                           020 "Automático"
27913                           019 "Desplazable"
28000                           017 "Opciones"
28001                           017 "Título"
28003                           018 "Visible"
28004                           017 "Ancho"
28007                           020 "Automático"
28008                           021 "Orientación"
28010                           016 "Tipo"
28012                           029 "Permitir tratamiento"
28100                           017 "Opciones"
28101                           028 "Adecuar tamaño de objeto"
28103                           024 "Filas visibles"
28106                           030 "Representar valores vacíos"
28107                           021 "No"
28108                           022 "Interpolada"
28109                           014 "Cero"
28200                           016 "Pulsador"
28201                           016 "Título"
28203                           017 "Ancho"
28206                           018 "Altura"
28209                           025 "Distancia vertical"
28212                           028 "Distancia horizontal"
28216                           020 "Posición"
28300                           014 "Celda"
28301                           020 "Símbolo de leyenda"
28302                           018 "Serie"
28305                           017 "Punto"
28308                           021 "Tablas de usuario"
28400                           017 "Puntero"
28401                           023 "Rótulo de puntero"
28402                           017 "Rótulo"
28500                           017 "Opciones"
28501                           018 "Posición"
28502                           019 "Arriba, izquierda"
28503                           020 "Arriba, derecha"
28600                           017 "Opciones"
28601                           018 "Posición"
