_SAPPCTXT_HEADER_               002 8000 CHART SV 1100 OK 
26705                           057 "Antal rubriker mellan strecketiketterna:"
26707                           051 "Antal rubriker mellan strecken:"
26709                           048 "Värdeaxeln skär mellan rubriker"
26710                           038 "Kategorier i &omvänd ordningsföljd"
26712                           020 "Automatiskt"
26713                           040 "Antal synliga rubriker:"
26715                           036 "Start vid rubrik nr:"
26800                           015 "Skalning"
26801                           027 "Skalning serieaxel"
26802                           053 "Antal serier mellan etiketterna f linjer f delskala:"
26804                           047 "Antal serier mellan linjerna för delskala:"
26806                           034 "Serier med omkastad ordningsföljd"
26900                           015 "Skalning"
26901                           026 "Skalning värdeaxel"
26902                           016 "Typ:"
26904                           021 "Avstånd mellan diagr:"
26907                           014 "Auto"
26908                           019 "Lägsta värde:"
26911                           019 "Högsta värde:"
26914                           022 "Huvudintervall:"
26919                           018 "Format:"
26921                           022 "Hjälpintervall:"
26926                           018 "Format:"
26928                           036 "Rubrikaxeln skär vid:"
26931                           034 "Värden i omkastad ordningsföljd"
26933                           025 "Bredd för en dag:"
26936                           027 "Vyn börjar med:"
26938                           030 "Linje vid aktuell tid"
26939                           035 "Visa tidsenheter helt"
26940                           027 "Färglägg helgdagar"
26942                           015 "Datum:"
27000                           017 "Alternativ"
27001                           016 "Statisk"
27005                           038 "Storlek på andra ritytan"
27008                           016 "Grad"
27009                           023 "Diagramdjup:"
27013                           039 "Andra ritytan innehåller:"
27016                           016 "Värden"
27018                           031 "Datapunkter med olika färger"
27019                           025 "Maximi-minimi-linjer"
27020                           023 "Pos./neg. avvikelse"
27021                           026 "Representerat värde"
27022                           030 "Bubblornas yta"
27023                           034 "Bubblornas diameter"
27024                           024 "Dela upp serien med:"
27026                           036 "Pos./neg. avvikelseytor"
27027                           022 "Värdeintervall"
27029                           017 "Lägg till..."
27030                           018 "Bearbeta..."
27031                           017 "Radera"
27033                           024 "Linje först uppåt"
27034                           020 "Automatiskt"
27100                           020 "Diagramtyp"
27101                           022 "Diagramtyp"
27103                           025 "Underordnad typ:"
27105                           033 "Allokera till alla dataserier"
27200                           015 "Värde"
27201                           018 "X-axel:"
27204                           018 "Y-axel:"
27207                           020 "Diameter:"
27300                           021 "Värdeintervall"
27301                           017 "Minimum"
27302                           017 "Titel:"
27304                           020 "Automatiskt"
27305                           019 "Dold"
27306                           016 "Värde:"
27309                           017 "Maximum"
27310                           017 "Titel:"
27312                           020 "Automatiskt"
27313                           019 "Dold"
27314                           016 "Värde:"
27317                           017 "Optimum"
27318                           017 "Titel:"
27320                           019 "Automatiskt"
27321                           019 "Dold"
27322                           016 "Värde:"
27325                           020 "Position:"
27326                           020 "Position:"
27327                           020 "Position:"
27400                           015 "Titel"
27401                           015 "Diagram"
27403                           028 "Rubrikaxel (X):"
27405                           025 "Värdeaxel (Y):"
27407                           038 "Sekundär rubrikaxel (X):"
27409                           035 "Sekundär värdeaxel (Y):"
27411                           019 "Flyttbar"
27412                           019 "Ändringsbar"
27413                           017 "Titel:"
27414                           017 "Titel:"
27415                           017 "Titel:"
27416                           016 "Titel:"
27417                           016 "Titel:"
27418                           016 "Enhet:"
27419                           016 "Enhet:"
27420                           015 "Enhet:"
27421                           015 "Enhet:"
27500                           020 "Datatabell"
27501                           026 "Visa datatabell"
27502                           027 "Visa förklaringssymbol"
27600                           029 "Normalfördelning"
27601                           029 "Beteckning:"
27603                           020 "Automatiskt"
27604                           016 "Medelvärde:"
27606                           030 "Standardavvikelse"
27608                           032 "Visa namn i diagrammet"
27700                           019 "Kvadranter"
27701                           016 "Centrum"
27702                           018 "X-axel:"
27705                           018 "Y-axel:"
27708                           016 "Färger"
27709                           019 "Uppe till vänster:"
27711                           020 "Uppe till höger:"
27713                           023 "Nere till vänster:"
27715                           023 "Nere till höger:"
27719                           018 "Synligt"
27800                           028 "Värdeintervall dataserie"
27801                           016 "Från:"
27804                           014 "Till:"
27807                           017 "Färg:"
27900                           017 "Alternativ"
27901                           019 "Kolumner:"
27903                           015 "Rader"
27906                           017 "Titel:"
27908                           018 "Synligt"
27910                           018 "Position"
27911                           017 "Användardef."
27912                           020 "Automatiskt"
27913                           019 "Flyttbar"
28000                           017 "Alternativ"
28001                           017 "Titel:"
28003                           018 "Synligt"
28004                           017 "Bredd:"
28007                           020 "Automatiskt"
28008                           021 "Justering:"
28010                           016 "Typ:"
28012                           029 "Tillåt bearbetning"
28100                           017 "Alternativ"
28101                           028 "Anpassa objektstorlekar"
28103                           024 "Synliga rader:"
28106                           030 "Visa tomma värden"
28107                           021 "Ej"
28108                           022 "Interpolerat"
28109                           014 "Noll"
28200                           016 "Kommandoknapp"
28201                           016 "Titel:"
28203                           017 "Bredd:"
28206                           018 "Höjd:"
28209                           025 "Vertikalt avstånd:"
28212                           028 "Horisontellt avstånd:"
28216                           020 "Position:"
28300                           014 "Cell"
28301                           020 "Förklaringssymbol"
28302                           018 "Serie:"
28305                           017 "Punkt:"
28308                           021 "Användartabeller"
28400                           017 "Pekare"
28401                           023 "Pekaretikett"
28402                           017 "Etikett:"
28500                           017 "Alternativ"
28501                           018 "Position"
28502                           019 "Uppe till vänster"
28503                           020 "Uppe till höger"
28600                           017 "Alternativ"
28601                           018 "Position"
